StudentID,Course,Grade,Section_Grade,Course_Type
STU519,English Language and Composition AP,10,95.45,English
STU52,Women Writers Post-AP,12,96.27,English
STU520,English I Honors,9,92.85,English
STU521,English Language and Composition AP,11,90.41,English
STU522,English Literature and Composition AP,12,92.6,English
STU523,English Literature and Composition AP,11,93.78,English
STU524,Mythology Classical and World Literature Post-AP,12,94.35,English
STU525,English Literature and Composition AP,11,92.4,English
STU526,English I Honors,9,91.8,English
STU527,English Literature and Composition AP,12,88.34,English
STU528,Shakespeare Post-AP,12,89.35,English
STU529,English Literature and Composition AP,12,98.62,English
STU53,English I Honors,9,94.14,English
STU530,English Literature and Composition AP,12,83.99,English
STU531,English Literature and Composition AP,12,87.98,English
STU532,English I Honors,9,93.25,English
STU533,Mythology Classical and World Literature Post-AP,12,96.06,English
STU534,English I Honors,9,90.35,English
STU535,On The Fringe: Marginalized Voices in Literature Post-AP,12,97.02,English
STU536,Shakespeare Post-AP,12,93.8,English
STU537,English I Honors,9,86.87,English
STU538,English Language and Composition AP,10,96.5,English
STU539,English II Honors,10,88.19,English
STU54,English Literature and Composition AP,12,90.39,English
STU540,Women Writers Post-AP,12,96.95,English
STU541,English I Honors,9,93.55,English
STU542,English Language and Composition AP,11,92.46,English
STU543,Mythology Classical and World Literature Post-AP,12,88.01,English
STU544,Shakespeare Post-AP,12,95.56,English
STU545,English Literature and Composition AP,12,92.58,English
STU546,English I Honors,9,87.71,English
STU547,English I Honors,9,94.27,English
STU548,English Literature and Composition AP,12,83.88,English
STU549,English Language and Composition AP,11,89.53,English
STU55,Shakespeare Post-AP,12,94.55,English
STU550,English Language and Composition AP,11,89.21,English
STU551,Mythology Classical and World Literature Post-AP,12,95.08,English
STU552,English Language and Composition AP,10,96.82,English
STU553,Mythology Classical and World Literature Post-AP,12,91.24,English
STU554,English Literature and Composition AP,12,90.39,English
STU555,English Language and Composition AP,10,89.15,English
STU556,English I Honors,9,94.73,English
STU557,English Literature and Composition AP,11,90.85,English
STU558,English Language and Composition AP,10,95.45,English
STU559,English Literature and Composition AP,11,93.09,English
STU56,Shakespeare Post-AP,12,89.5,English
STU560,English I Honors,9,98.06,English
STU561,English Literature and Composition AP,11,90.65,English
STU562,On The Fringe: Marginalized Voices in Literature Post-AP,12,79.53,English
STU563,English I Honors,9,87.92,English
STU564,English Language and Composition AP,10,94.88,English
STU565,English II Honors,10,93.44,English
STU566,English Literature and Composition AP,11,93.88,English
STU567,English Literature and Composition AP,12,91.37,English
STU568,English I Honors,9,90.65,English
STU569,English Literature and Composition AP,11,94.55,English
STU57,English Literature and Composition AP,12,82.66,English
STU570,English Literature and Composition AP,11,90.12,English
STU571,English Literature and Composition AP,12,93.43,English
STU572,English II Honors,10,86.96,English
STU573,English Language and Composition AP,10,94.24,English
STU574,English Language and Composition AP,10,97.96,English
STU575,English Language and Composition AP,10,91.52,English
STU576,English I Honors,9,93.83,English
STU577,English Language and Composition AP,11,88.18,English
STU578,English I Honors,9,89.19,English
STU579,English Literature and Composition AP,11,95.34,English
STU58,English I Honors,9,92.86,English
STU580,English I Honors,9,95.94,English
STU581,English Language and Composition AP,10,89.39,English
STU582,English II Honors,10,86.47,English
STU583,English Literature and Composition AP,11,90.01,English
STU584,English II Honors,10,88.14,English
STU585,English Literature and Composition AP,11,91.36,English
STU586,English Literature and Composition AP,11,94.85,English
STU587,English Literature and Composition AP,11,92.9,English
STU588,English Language and Composition AP,11,88.34,English
STU589,English I Honors,9,87.9,English
STU59,English I Honors,9,76.6,English
STU590,English II Honors,10,86.23,English
STU591,English Language and Composition AP,10,97.66,English
STU592,On The Fringe: Marginalized Voices in Literature Post-AP,12,98.72,English
STU593,English Language and Composition AP,10,93.03,English
STU594,English Language and Composition AP,11,87.13,English
STU595,English Language and Composition AP,10,94.24,English
STU596,Mythology Classical and World Literature Post-AP,12,88.67,English
STU597,English Literature and Composition AP,11,91.53,English
STU598,English I Honors,9,97.53,English
STU599,English I Honors,9,94.23,English
STU6,English II Honors,10,94.2,English
STU60,English Language and Composition AP,10,89.09,English
STU600,English Literature and Composition AP,11,95.3,English
