StudentID,Course,Grade,Section_Grade
STU182,Human Geography AP,9,85.32
STU58,English I Honors,9,92.86
STU58,Spanish II,9,97.31
STU58,Geometry Honors,9,87.73
STU58,Computer Science Principles AP,9,93.97
STU58,Chemistry Honors,9,89.99
STU58,Human Geography AP,9,96.8
STU219,English I Honors,9,92.61
STU219,Spanish II,9,94.74
STU219,Geometry,9,91.69
STU219,Computer Science Principles AP,9,87.07
STU219,Chemistry,9,95.04
STU219,Human Geography AP,9,94.02
STU854,English I Honors,9,96.28
STU854,Spanish II Honors,9,97.57
STU854,Geometry Honors,9,89.59
STU854,Chemistry Honors,9,92.59
STU854,World History AP,9,97.14
STU308,English I Honors,9,99.05
STU308,Spanish IV Honors - Heritage Speakers,9,99.42
STU308,Geometry Honors,9,92.68
STU308,Chemistry Honors,9,93.76
STU308,World History AP,9,99.39
STU679,English I Honors,9,90.6
STU679,Spanish I,9,92.95
STU679,Geometry,9,79.53
STU679,Chemistry,9,82.04
STU679,Modern World Honors: 1750 to the Present,9,94.07
STU676,English I Honors,9,92.54
STU676,French II,9,85.33
STU676,Geometry Honors,9,89.59
STU676,Chemistry Honors,9,85.25
STU676,World History AP,9,91.63
STU320,English I Honors,9,82.97
STU320,Spanish II,9,94.58
STU320,Geometry Honors,9,89.54
STU320,Human Geography AP,9,91.29
STU666,English I Honors,9,96.56
STU666,Latin I Honors,9,99.14
STU666,Geometry Honors,9,87.08
STU666,Chemistry,9,93.37
STU666,Human Geography AP,9,92.05
STU388,English I Honors,9,88.64
STU388,French II Honors,9,86.68
STU388,Geometry Honors,9,92.5
STU388,Computer Science Principles AP,9,97.48
STU388,Chemistry Honors,9,89.85
STU388,Human Geography AP,9,92.86
STU405,English I Honors,9,91.9
STU405,Spanish II,9,92.83
STU405,Geometry Honors,9,95.9
STU405,Computer Science Principles AP,9,91.79
STU405,Chemistry Honors,9,85.05
STU405,Human Geography AP,9,93.3
STU556,English I Honors,9,94.73
STU556,Chinese III Honors,9,95.29
STU556,Pre-Calculus Honors,9,95.85
STU556,Computer Science Principles AP,9,99.04
STU556,Chemistry Honors,9,97.15
STU556,World History AP,9,96.73
STU601,English I Honors,9,92.64
STU601,Latin I Honors,9,89.55
STU601,Geometry,9,87.66
STU601,Computer Science Principles AP,9,85.81
STU601,Chemistry,9,90.08
STU601,Human Geography AP,9,88.73
STU560,English I Honors,9,98.06
STU560,Spanish II Honors,9,97.94
STU560,Pre-Calculus Honors,9,94.88
STU560,Chemistry Honors,9,98.31
STU560,World History AP,9,99.59
STU853,English I Honors,9,96.56
STU853,Latin I Honors,9,98.53
STU853,Algebra II Honors,9,95.04
STU853,Chemistry Honors,9,94.73
STU853,Human Geography AP,9,94.55
STU278,English I Honors,9,95.43
STU278,Spanish II Honors,9,97.42
STU278,Geometry Honors,9,95.33
STU278,Chemistry Honors,9,94.89
STU278,World History AP,9,93.67
STU840,English I Honors,9,96.81
STU840,Spanish IV Honors - Heritage Speakers,9,96.14
STU840,Pre-Calculus Honors,9,90.41
STU840,Computer Science Principles AP,9,96.19
STU840,Chemistry Honors,9,94.03
STU840,World History AP,9,92.86
STU541,English I Honors,9,93.55
STU541,Chinese II Honors,9,87.29
STU541,Geometry,9,94.12
STU541,Chemistry,9,94.42
STU541,Human Geography AP,9,83.19
STU369,English I Honors,9,86.71
STU369,Chinese II,9,96.1
STU369,Geometry,9,88.22
STU369,Chemistry,9,93.7
STU369,Modern World Honors: 1750 to the Present,9,95.32
STU417,English I Honors,9,93.57
STU417,Chinese II Honors,9,93.91
STU417,Geometry,9,95.01
STU417,Chemistry,9,99.37
STU417,Human Geography AP,9,92.16
STU719,English I Honors,9,94.07
STU719,Latin I Honors,9,97.53
STU719,Geometry Honors,9,89.88
STU719,Computer Science Principles AP,9,96.28
STU719,Chemistry Honors,9,96.51
STU719,Human Geography AP,9,90.04
STU837,English I Honors,9,98.37
STU837,Spanish II Honors,9,98.61
STU837,Geometry Honors,9,97.35
STU837,Chemistry Honors,9,96.68
STU837,World History AP,9,100.2
STU363,English I Honors,9,96.56
STU363,Spanish II Honors,9,94.51
STU363,Geometry,9,95.4
STU363,Chemistry,9,95.45
STU363,Human Geography AP,9,91.87
STU460,English I Honors,9,90.32
STU460,Spanish IV Honors - Heritage Speakers,9,95.29
STU460,Geometry Honors,9,83.13
STU460,Computer Science Principles AP,9,92.29
STU460,Chemistry Honors,9,82.56
STU460,Human Geography AP,9,92.86
STU769,English I Honors,9,93.09
STU769,Spanish II Honors,9,90.28
STU769,Geometry Honors,9,88.16
STU769,Computer Science Principles AP,9,94.22
STU769,Chemistry Honors,9,84.88
STU769,Human Geography AP,9,91.74
STU437,English I Honors,9,85.94
STU437,Fundamentals of Music Theory,9,98.48
STU437,Latin I Honors,9,95.58
STU437,Geometry Honors,9,83.44
STU437,Chemistry,9,96.3
STU437,Human Geography AP,9,84.27
STU621,English I Honors,9,97.71
STU621,Spanish IV Honors - Heritage Speakers,9,97.83
STU621,Geometry Honors,9,83.81
STU621,Computer Science Principles AP,9,94.33
STU621,Chemistry Honors,9,84.95
STU621,World History AP,9,93.27
STU260,English I Honors,9,96.65
STU260,Spanish II Honors,9,93.4
STU260,Geometry Honors,9,82.73
