,StudentID,Course,Grade,Section_Grade,Course_Type
473,STU700,Computer Science Principles AP,9,96.04,Computer Science
474,STU700,Chemistry,9,95.94,Science
475,STU700,Modern World Honors: 1750 to the Present,9,97.17,Humanities
476,STU605,English I Honors,9,93.96,English
477,STU605,Spanish II,9,93.24,Foreign Language
478,STU605,Pre-Calculus Honors,9,91.22,Math
479,STU605,Chemistry Honors,9,92.85,Science
480,STU605,Human Geography AP,9,95.85,Humanities
481,STU329,English I Honors,9,93.01,English
482,STU329,Latin I Honors,9,91.3,Foreign Language
483,STU329,Geometry Honors,9,83.33,Math
484,STU329,Chemistry,9,93.69,Science
485,STU329,Human Geography AP,9,91.04,Humanities
486,STU182,English I Honors,9,82.59,English
487,STU182,Spanish II Honors,9,83.37,Foreign Language
488,STU182,Geometry,9,90.53,Math
489,STU182,Computer Science Principles AP,9,86.1,Computer Science
490,STU182,Chemistry,9,91.66,Science
491,STU182,Human Geography AP,9,85.32,Humanities
492,STU58,English I Honors,9,92.86,English
493,STU58,Spanish II,9,97.31,Foreign Language
494,STU58,Geometry Honors,9,87.73,Math
495,STU58,Computer Science Principles AP,9,93.97,Computer Science
496,STU58,Chemistry Honors,9,89.99,Science
497,STU58,Human Geography AP,9,96.8,Humanities
498,STU219,English I Honors,9,92.61,English
499,STU219,Spanish II,9,94.74,Foreign Language
500,STU219,Geometry,9,91.69,Math
501,STU219,Computer Science Principles AP,9,87.07,Computer Science
502,STU219,Chemistry,9,95.04,Science
503,STU219,Human Geography AP,9,94.02,Humanities
504,STU854,English I Honors,9,96.28,English
505,STU854,Spanish II Honors,9,97.57,Foreign Language
506,STU854,Geometry Honors,9,89.59,Math
507,STU854,Chemistry Honors,9,92.59,Science
508,STU854,World History AP,9,97.14,Humanities
509,STU308,English I Honors,9,99.05,English
510,STU308,Spanish IV Honors - Heritage Speakers,9,99.42,Foreign Language
511,STU308,Geometry Honors,9,92.68,Math
512,STU308,Chemistry Honors,9,93.76,Science
513,STU308,World History AP,9,99.39,Humanities
514,STU679,English I Honors,9,90.6,English
515,STU679,Spanish I,9,92.95,Foreign Language
516,STU679,Geometry,9,79.53,Math
517,STU679,Chemistry,9,82.04,Science
518,STU679,Modern World Honors: 1750 to the Present,9,94.07,Humanities
519,STU676,English I Honors,9,92.54,English
520,STU676,French II,9,85.33,Foreign Language
521,STU676,Geometry Honors,9,89.59,Math
522,STU676,Chemistry Honors,9,85.25,Science
523,STU676,World History AP,9,91.63,Humanities
524,STU320,English I Honors,9,82.97,English
525,STU320,Spanish II,9,94.58,Foreign Language
526,STU320,Geometry Honors,9,89.54,Math
527,STU320,Human Geography AP,9,91.29,Humanities
528,STU666,English I Honors,9,96.56,English
529,STU666,Latin I Honors,9,99.14,Foreign Language
530,STU666,Geometry Honors,9,87.08,Math
531,STU666,Chemistry,9,93.37,Science
532,STU666,Human Geography AP,9,92.05,Humanities
533,STU388,English I Honors,9,88.64,English
534,STU388,French II Honors,9,86.68,Foreign Language
535,STU388,Geometry Honors,9,92.5,Math
536,STU388,Computer Science Principles AP,9,97.48,Computer Science
537,STU388,Chemistry Honors,9,89.85,Science
538,STU388,Human Geography AP,9,92.86,Humanities
539,STU405,English I Honors,9,91.9,English
540,STU405,Spanish II,9,92.83,Foreign Language
541,STU405,Geometry Honors,9,95.9,Math
542,STU405,Computer Science Principles AP,9,91.79,Computer Science
543,STU405,Chemistry Honors,9,85.05,Science
544,STU405,Human Geography AP,9,93.3,Humanities
545,STU556,English I Honors,9,94.73,English
546,STU556,Chinese III Honors,9,95.29,Foreign Language
547,STU556,Pre-Calculus Honors,9,95.85,Math
548,STU556,Computer Science Principles AP,9,99.04,Computer Science
549,STU556,Chemistry Honors,9,97.15,Science
550,STU556,World History AP,9,96.73,Humanities
551,STU601,English I Honors,9,92.64,English
552,STU601,Latin I Honors,9,89.55,Foreign Language
553,STU601,Geometry,9,87.66,Math
554,STU601,Computer Science Principles AP,9,85.81,Computer Science
555,STU601,Chemistry,9,90.08,Science
556,STU601,Human Geography AP,9,88.73,Humanities
557,STU560,English I Honors,9,98.06,English
558,STU560,Spanish II Honors,9,97.94,Foreign Language
559,STU560,Pre-Calculus Honors,9,94.88,Math
560,STU560,Chemistry Honors,9,98.31,Science
561,STU560,World History AP,9,99.59,Humanities
562,STU853,English I Honors,9,96.56,English
563,STU853,Latin I Honors,9,98.53,Foreign Language
564,STU853,Algebra II Honors,9,95.04,Math
565,STU853,Chemistry Honors,9,94.73,Science
566,STU853,Human Geography AP,9,94.55,Humanities
567,STU278,English I Honors,9,95.43,English
568,STU278,Spanish II Honors,9,97.42,Foreign Language
569,STU278,Geometry Honors,9,95.33,Math
570,STU278,Chemistry Honors,9,94.89,Science
571,STU278,World History AP,9,93.67,Humanities
572,STU840,English I Honors,9,96.81,English
573,STU840,Spanish IV Honors - Heritage Speakers,9,96.14,Foreign Language
574,STU840,Pre-Calculus Honors,9,90.41,Math
